"id","name","deprecated","removed","category","tags","resources","web"
"abuseat.org-cbl","CBL",false,false,"blacklist","spam","ip4","https://www.abuseat.org/"
"abuse.ro-dbl","abuse.ro (Romanian) URI RBL for spam domains",false,false,"blacklist","spam","domain","http://www.abuse.ro/"
"abuse.ro-pbl","abuse.ro (Romanian) IP non-mta, residential IPs",false,false,"blacklist","non-mta;residential","ip4","http://www.abuse.ro/"
"abuse.ro-rbl","abuse.ro (Romanian) IP RBL",false,false,"blacklist","spam","ip4","http://www.abuse.ro/"
"abuse.ro-uribl","abuse.ro (Romanian) URI RBL for spamvertized domains",false,false,"blacklist","spamvertized","domain","http://www.abuse.ro/"
"abusix.org-contacts","abusix.org Abuse Contact DB",false,false,"infolist","info","ip4;ip6","http://abusix.org/"
"anonmails.de","anonmails.de DNSBL",false,false,"blacklist","spam","ip4","http://www.anonmails.de/dnsbl.php"
"anticaptcha.net-dnsbl6","AntiCaptcha.NET IPv6",false,false,"blacklist","spam","ip6","http://anticaptcha.net/"
"anticaptcha.net-dnsbl","AntiCaptcha.NET IPv4",false,false,"blacklist","spam","ip4","http://anticaptcha.net/"
"backscatterer.org","Whitelisted.org",false,false,"blacklist","backscatter","ip4","http://www.backscatterer.org/"
"barracudacentral.org","Barracuda Reputation Block List",false,false,"blacklist","spam","ip4","http://www.barracudacentral.org/rbl/"
"barracudacentral.org-sa","Barracuda Reputation Block List (for SpamAssassin)",false,false,"blacklist","spam","ip4","http://www.barracudacentral.org/rbl/"
"bbfh.org","BBFH Level 1",false,false,"blacklist","spam","ip4","http://www.bbfh.org/"
"blockedservers.com","BlockedServers RBL",false,false,"blacklist","spam;netscan;torexit","ip4","http://www.blockedservers.com/"
"blockedservers.com-netscan","BlockedServers NetScan RBL",false,false,"blacklist","netscan","ip4","http://www.blockedservers.com/"
"blockedservers.com-spam","BlockedServers Spam RBL",false,false,"blacklist","spam","ip4","http://www.blockedservers.com/"
"blockedservers.com-torexit","BlockedServers Torexit RBL",false,false,"blacklist","torexit","ip4","http://www.blockedservers.com/"
"blocklist.de","blocklist.de Fail2Ban Reporting Service",false,false,"blacklist","bruteforce","ip4","http://www.blocklist.de/"
"borderware.com-dnsbl1","borderware.com DNSBL1",false,false,"blacklist","spam","ip4","http://www.borderware.com/"
"borderware.com-dnsbl2","borderware.com DNSBL2",false,false,"blacklist","spam","ip4","http://www.borderware.com/"
"borderware.com-dnsbl3","borderware.com DNSBL3",false,false,"blacklist","spam","ip4","http://www.borderware.com/"
"borderware.com-dul","borderware.com DUL",false,false,"blacklist","spam","ip4","http://www.borderware.com/"
"cobion.com","IBM DNS Blacklist",false,false,"blacklist","spam","ip4","http://filterdb.iss.net/dnsblinfo/"
"cymru.com-bogons","Cymru Bogon List",false,false,"blacklist","bogon","ip4","http://www.team-cymru.com/bogon-reference.html"
"cymru.com-fullbogons4","Cymru Fullbogon IPv4 List",false,false,"blacklist","bogon","ip4","http://www.team-cymru.com/bogon-reference.html"
"cymru.com-fullbogons6","Cymru Fullbogon IPv6 List",false,false,"blacklist","bogon","ip6","http://www.team-cymru.com/bogon-reference.html"
"dan.me.uk-torexit","dan.me.uk (only tor exit nodes)",false,false,"blacklist","torexit","ip4","https://www.dan.me.uk/dnsbl"
"dan.me.uk-tor","dan.me.uk (all tor nodes)",false,false,"blacklist","torexit","ip4","https://www.dan.me.uk/dnsbl"
"darklist.de","darklist.de",false,false,"blacklist","bruteforce;spam","ip4","https://darklist.de/"
"dnsblchile.org","dnsblchile.org",false,false,"mixedlist","spam","ip4","http://www.dnsblchile.org/"
"dnsrbl.org","DNSRBL - DNS Real-time Blackhole List",false,false,"blacklist","spam;malware;phising","ip4","http://dnsrbl.org/"
"dronebl.org","DroneBL",false,false,"blacklist","spam;openproxy;torexit;drone","ip4;ip6","http://www.dronebl.org/"
"efnetrbl.org","EFnet RBL",false,false,"blacklist","spam;openproxy;torexit;drone","ip4","http://efnetrbl.org/"
"efnetrbl.org-mirror","EFnet RBL mirror",false,false,"blacklist","spam;openproxy;torexit;drone","ip4","http://efnetrbl.org/"
"fabel.dk","Fabel Spamsources",false,false,"blacklist","spam","ip4","http://www.spamsources.fabel.dk/"
"fmb.la-fresh","fresh.fmb.la FRESH domains",false,false,"blacklist","fresh","domain","http://fmb.la/"
"fmb.la","bl.fmb.la composite blacklist",false,false,"blacklist","spam","ip4;domain","http://fmb.la/"
"fmb.la-short","short.fmb.la URL shortener",false,false,"blacklist","shortener","domain","http://fmb.la/"
"fusionzero.com","0spam DNSBL",false,false,"blacklist","spam","ip4","http://0spam.fusionzero.com/"
"fusionzero.com-trust","0spam DNSWL",false,false,"whitelist","spam","ip4","http://0spam.fusionzero.com/"
"gbudb.net","truncate.gbudb.net",false,false,"blacklist","spam","ip4","http://www.gbudb.com/truncate/index.jsp"
"habeas.com","Habeas SafeList",false,false,"whitelist","spam","ip4","http://www.habeas.com/"
"habeas.com-sa","Habeas SafeList (for SpamAssassin)",false,false,"whitelist","spam","ip4","http://www.habeas.com/"
"imp.ch-spam","ImproWare IP based spamlist",false,false,"blacklist","spam","ip4","http://antispam.imp.ch/06-dnsbl.php?lng=1"
"imp.ch-worm","ImproWare IP based wormlist",false,false,"blacklist","malware","ip4","http://antispam.imp.ch/03-wormlist.html?lng=1"
"interserver.net","InterServer BL",false,false,"blacklist","malware;spam;netscan","ip4","http://rbl.interserver.net/"
"isipp.com-iadb2","ISIPP Accreditation Database (IADB2)",false,false,"whitelist","spam","ip4","http://www.isipp.com/"
"isipp.com-iadb","ISIPP Accreditation Database",false,false,"whitelist","spam","ip4","http://www.isipp.com/"
"isipp.com-wadb","ISIPP Accreditation Database (WADB)",false,false,"whitelist","spam","ip4","http://www.isipp.com/"
"jippg.org","JIPPG's RBL Project (mail-abuse Listings)",false,false,"blacklist","spam","ip4","http://blacklist.jippg.org/"
"junkemailfilter.com-black","Hostkarma blacklist",false,false,"blacklist","spam","ip4;domain","http://wiki.junkemailfilter.com/index.php/Spam_DNS_Lists"
"junkemailfilter.com-dnswl","Hostkarma shitelist",false,false,"whitelist","spam","ip4;domain","http://wiki.junkemailfilter.com/index.php/Spam_DNS_Lists"
"junkemailfilter.com-hostkarma","Hostkarma",false,false,"mixedlist","spam","ip4;domain","http://wiki.junkemailfilter.com/index.php/Spam_DNS_Lists"
"junkemailfilter.com-nobl","Hostkarma no blacklist",false,false,"whitelist","spam","ip4;domain","http://wiki.junkemailfilter.com/index.php/Spam_DNS_Lists"
"justspam.org","JustSpam.org",false,false,"blacklist","spam","ip4","http://www.justspam.org/"
"kempt.net","Kempt.net DNS Black List",false,false,"blacklist","spam","ip4","http://www.kempt.net/dnsbl/"
