"id","name","deprecated","removed","category","tags","resources","web"
"abuse.ch-feodo","Feodo Tracker C&C Abuse.ch",false,false,"blacklist","malware","ip4","https://feodotracker.abuse.ch/"
"abuse.ch-ssl","SSL blacklist Abuse.ch",false,false,"blacklist","malware","ip4;md5;sha1","https://sslbl.abuse.ch"
"abuse.ch-urlhaus","URLhaus Abuse.ch",false,false,"blacklist","malware","domain","https://urlhaus.abuse.ch/"
"alienvault.com","alienvault reputation",false,false,"blacklist","reputation","ip4","https://www.alienvault.com"
"badips.com","Bad IPs",false,false,"blacklist","bruteforce","ip4","https://badips.com/"
"blocklist.de","blocklist.de Fail2Ban Reporting Service",false,false,"blacklist","bruteforce","ip4;ip6","http://www.blocklist.de/"
"blocklist.site-abuse","Blocklist Site Abuse",false,false,"blacklist","abuse","ip4;domain","https://blocklist.site"
"blocklist.site-ads","Blocklist Site ADS",false,false,"blacklist","ads","domain","https://blocklist.site"
"blocklist.site-crypto","Blocklist Site Crypto",false,false,"blacklist","crypto","domain","https://blocklist.site"
"blocklist.site-drugs","Blocklist Site Drugs",false,false,"blacklist","drugs","domain","https://blocklist.site"
"blocklist.site-fakebook","Blocklist Site Facebook",false,false,"blacklist","facebook","domain","https://blocklist.site"
"blocklist.site-fraud","Blocklist Site Fraud",false,false,"blacklist","fraud","domain","https://blocklist.site"
"blocklist.site-gambling","Blocklist Site Gambling",false,false,"blacklist","gambling","domain","https://blocklist.site"
"blocklist.site-malware","Blocklist Site Malware",false,false,"blacklist","malware","ip4;domain","https://blocklist.site"
"blocklist.site-phishing","Blocklist Site Phishing",false,false,"blacklist","phishing","domain","https://blocklist.site"
"blocklist.site-piracy","Blocklist Site Piracy",false,false,"blacklist","piracy","domain","https://blocklist.site"
"blocklist.site-porn","Blocklist Site Porn",false,false,"blacklist","porn","domain","https://blocklist.site"
"blocklist.site-ransomware","Blocklist Site Ransomware",false,false,"blacklist","ransomware","domain","https://blocklist.site"
"blocklist.site-redirect","Blocklist Site Redirect",false,false,"blacklist","redirect","domain","https://blocklist.site"
"blocklist.site-scam","Blocklist Site Scam",false,false,"blacklist","scam","domain","https://blocklist.site"
"blocklist.site-tiktok","Blocklist Site Tiktok",false,false,"blacklist","tiktok","domain","https://blocklist.site"
"blocklist.site-torrent","Blocklist Site Torrent",false,false,"blacklist","torrent","domain","https://blocklist.site"
"blocklist.site-tracking","Blocklist Site Tracking",false,false,"blacklist","tracking","domain","https://blocklist.site"
"blocklist.site-youtube","Blocklist Site Youtube",false,false,"blacklist","youtube","domain","https://blocklist.site"
"cameleon","The CAMELEON Project",false,false,"blacklist","ads","domain","http://sysctl.org/cameleon/"
"cinsscore.com","The CINS Army List",false,false,"blacklist","bruteforce","ip4","https://cinsscore.com/"
"cruzit.com","cruzit.com Server Blocklist",false,false,"blacklist","bruteforce","ip4","https://www.cruzit.com/"
"cymru.com-bogons","Cymru Bogon List",false,false,"blacklist","bogon","ip4","http://www.team-cymru.com/bogon-reference.html"
"cymru.com-fullbogons4","Cymru Fullbogon IPv4 List",false,false,"blacklist","bogon","ip4","http://www.team-cymru.com/bogon-reference.html"
"dan.me.uk-torexit","dan.me.uk (only tor exit nodes)",false,false,"blacklist","torexit","ip4","https://www.dan.me.uk/tornodes"
"dan.me.uk-tor","dan.me.uk (all tor nodes)",false,false,"blacklist","torexit","ip4","https://www.dan.me.uk/tornodes"
"darklist.de","darklist.de",false,false,"blacklist","bruteforce;spam","ip4","https://darklist.de/"
"dataplane.org-dnsrdany","dataplane.org DNS recursion desired IN ANY",false,false,"blacklist","netscan","ip4","https://dataplane.org"
"dataplane.org-dnsrd","dataplane.org DNS recursion desired",false,false,"blacklist","netscan","ip4","https://dataplane.org"
"dataplane.org-dnsversion","dataplane.org DNS CH TXT version.bind",false,false,"blacklist","netscan","ip4","https://dataplane.org"
"dataplane.org-sipinvitation","dataplane.org SIP invitation",false,false,"blacklist","netscan","ip4","https://dataplane.org"
"dataplane.org-sipquery","dataplane.org SIP query",false,false,"blacklist","netscan","ip4","https://dataplane.org"
"dataplane.org-sipregistration","dataplane.org SIP registration",false,false,"blacklist","netscan","ip4","https://dataplane.org"
"dataplane.org-sshclient","dataplane.org SSH client connection",false,false,"blacklist","netscan","ip4","https://dataplane.org"
